,Restaurant Name,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes
60,Moti Mahal Delux,Allahabad,"Vinayak City Centre Mall, Civil Lines",81.834492,25.454697,"Mughlai, North Indian, Chinese",800.0,No,No,No,3,3.3,Orange,Average,58
61,Makhan Fish and Chicken Corner,Amritsar,Basant Nagar,74.884359,31.64362,"North Indian, Chinese",700.0,No,No,No,2,3.4,Orange,Average,345
62,Charming Chicken,Amritsar,Basant Nagar,74.884384,31.644532,North Indian,300.0,No,No,No,1,3.9,Yellow,Good,151
64,Crystal Restaurant,Amritsar,INA Colony,74.875878,31.635658,"North Indian, Mughlai",800.0,No,No,No,3,3.4,Orange,Average,122
65,Brijwasi Chat Bhandar,Amritsar,INA Colony,74.87575556,31.63488333,Street Food,150.0,No,No,No,1,3.6,Yellow,Good,56
66,Bubby Fish & Chicken Corner,Amritsar,INA Colony,74.875828,31.635671,North Indian,300.0,No,No,No,1,3.5,Yellow,Good,91
68,The Yellow Chilli,Amritsar,Ranjit Avenue,74.86276111,31.65558889,"North Indian, Mughlai, Chinese",1200.0,No,No,No,3,3.4,Orange,Average,98
69,La Roma Pizzeria,Amritsar,Ranjit Avenue,74.86299167,31.65044167,"Fast Food, Italian",400.0,No,No,No,2,3.5,Yellow,Good,111
70,Sakhis Watz Kukin,Amritsar,Ranjit Avenue,74.8649101,31.6466891,"North Indian, Chinese",700.0,No,No,No,2,3.6,Yellow,Good,51
71,The Kulcha Land,Amritsar,Ranjit Avenue,74.86416667,31.65319167,"North Indian, Street Food",200.0,No,No,No,1,3.9,Yellow,Good,206
72,Shudh Restaurant,Amritsar,Town Hall,74.87981389,31.62404722,"North Indian, South Indian, Chinese, Fast Food",600.0,No,No,No,2,3.4,Orange,Average,44
73,Bade Bhai Ka Brothers' Dhaba,Amritsar,Town Hall,74.87461944,31.62394722,"North Indian, Fast Food",500.0,No,No,No,2,3.7,Yellow,Good,94
74,Bharawan Da Dhaba,Amritsar,Town Hall,74.87833333,31.62615278,"North Indian, Fast Food",500.0,No,No,No,2,3.5,Yellow,Good,461
75,Brothers Dhaba,Amritsar,Town Hall,74.877666,31.625981,North Indian,500.0,No,No,No,2,3.8,Yellow,Good,276
76,Brothers' Amritsari Dhaba,Amritsar,Town Hall,74.87957778,31.62261111,North Indian,400.0,No,No,No,2,3.8,Yellow,Good,71
78,Kesar Da Dhabha,Amritsar,Town Hall,74.873005,31.624386,North Indian,500.0,No,No,No,2,4.1,Green,Very Good,878
79,Beera Chicken Corner,Amritsar,White Avenue,74.883997,31.641991,North Indian,500.0,No,No,No,2,3.8,Yellow,Good,192
80,Surjit Food Plaza,Amritsar,White Avenue,74.877002,31.644818,North Indian,1000.0,No,No,No,3,3.5,Yellow,Good,96
82,Kream N Krunch,Aurangabad,Akashwani,75.34601667,19.87621944,"North Indian, Chinese, Continental, Italian",800.0,No,No,No,3,3.6,Yellow,Good,240
84,Angeethi Restaurant,Aurangabad,CIDCO,75.35394167,19.87473333,"North Indian, Chinese",600.0,No,No,No,2,3.3,Orange,Average,63
85,Domino's Pizza,Aurangabad,CIDCO,75.340775,19.87610556,Pizza,700.0,No,No,No,2,3.1,Orange,Average,19
86,Hotel Laadli,Aurangabad,CIDCO,75.3671268,19.8755223,"North Indian, South Indian",350.0,No,No,No,2,3.4,Orange,Average,46
87,Indiana Veg Restaurant,Aurangabad,CIDCO,75.360232,19.874449,"South Indian, North Indian, Chinese, Fast Food",450.0,No,No,No,2,3.4,Orange,Average,75
88,Madhuban Restaurant - Welcome Hotel Rama International,Aurangabad,CIDCO,75.358888,19.875908,"North Indian, Chinese, Continental, Italian, Mexican",1800.0,No,No,No,4,3.4,Orange,Average,94
89,Mauj Restaurant,Aurangabad,CIDCO,75.36479167,19.87642778,"Italian, Fast Food, North Indian, Chinese",500.0,No,No,No,2,3.3,Orange,Average,47
90,Naivedya,Aurangabad,CIDCO,75.3684187,19.874103,North Indian,500.0,No,No,No,2,3.4,Orange,Average,71
91,d' Curry House,Aurangabad,"Hotel Green Olive, Nirala Bazar",75.316722,19.875337,"Continental, Chinese, Biryani, North Indian",1000.0,No,No,No,3,3.6,Yellow,Good,73
93,Ashoka's Veg Restaurant,Aurangabad,Nirala Bazar,75.32340278,19.87963056,"South Indian, Chinese, North Indian",400.0,No,No,No,2,3.3,Orange,Average,46
94,Kareem's Fine Dining,Aurangabad,Nirala Bazar,75.32350278,19.88025556,"Mughlai, Biryani",700.0,No,No,No,2,3.3,Orange,Average,45
95,That Baat,Aurangabad,Nirala Bazar,75.322405,19.875016,Maharashtrian,450.0,No,No,No,2,3.4,Orange,Average,34
96,Bhoj Restaurant,Aurangabad,Nirala Bazar,75.317475,19.87802778,North Indian,450.0,No,No,No,2,3.7,Yellow,Good,89
98,Kareem's Kabab & Biryani,Aurangabad,"Prozone Mall, Chicalthana",75.37235278,19.87699444,Mughlai,650.0,No,No,No,2,3.4,Orange,Average,39
99,Great Sagar Restaurant,Aurangabad,Shahgunj,75.321461,19.888716,"North Indian, Mughlai",600.0,No,No,No,2,3.3,Orange,Average,74
100,Kailash Restaurant,Aurangabad,Usmanpura,75.31889444,19.86696944,"North Indian, Chinese, South Indian, Fast Food",450.0,No,No,No,2,3.3,Orange,Average,76
102,Sultans of Spice,Bangalore,"BluPetal Hotel, Koramangala",77.61542793,12.93328392,"North Indian, Mughlai",1300.0,Yes,Yes,No,3,4.1,Green,Very Good,2416
103,The Fatty Bao - Asian Gastro Bar,Bangalore,Indiranagar,77.64539558,12.97022064,Asian,2400.0,Yes,Yes,No,4,4.7,Dark Green,Excellent,2369
104,Toit,Bangalore,Indiranagar,77.64070876,12.9791658,"Italian, American, Pizza",2000.0,No,No,No,4,4.8,Dark Green,Excellent,10934
105,Three Dots & A Dash,Bangalore,Indiranagar,77.64048882,12.98041024,"European, Continental",1300.0,Yes,No,No,3,3.9,Yellow,Good,1354
106,Bombay Brasserie,Bangalore,Indiranagar,77.645748,12.970324,Modern Indian,1500.0,No,Yes,No,3,4.2,Green,Very Good,231
107,Glen's Bakehouse,Bangalore,Indiranagar,77.64062494,12.97909556,"Bakery, Desserts, Cafe",800.0,No,No,No,2,4.0,Green,Very Good,3533
108,Onesta,Bangalore,Indiranagar,77.64368467,12.97845292,"Pizza, Cafe, Italian",600.0,No,Yes,No,2,4.3,Green,Very Good,1413
109,Onesta,Bangalore,JP Nagar,77.59679094,12.90622878,"Pizza, Cafe, Italian",600.0,No,No,No,2,4.6,Dark Green,Excellent,781
110,ECHOES Koramangala,Bangalore,Koramangala 5th Block,77.615797,12.934179,"Continental, American, Italian, North Indian, Chinese, Cafe",950.0,No,No,No,2,4.7,Dark Green,Excellent,276
111,Truffles,Bangalore,Koramangala 5th Block,77.61429269,12.93329764,"American, Burger, Cafe",800.0,No,Yes,No,2,4.7,Dark Green,Excellent,9667
112,The Black Pearl,Bangalore,Koramangala 5th Block,77.61615515,12.93436454,"North Indian, European, Mediterranean",1400.0,Yes,No,No,3,4.1,Green,Very Good,5385
113,Eat Street,Bangalore,Koramangala 6th Block,77.625999,12.939496,"North Indian, Chinese, Italian, Street Food, Desserts",400.0,No,Yes,No,1,4.3,Green,Very Good,753
114,Koramangala Social,Bangalore,Koramangala 7th Block,77.61413042,12.93566181,"Continental, American",1500.0,No,No,No,3,4.5,Dark Green,Excellent,1288
115,AB's - Absolute Barbecues,Bangalore,Marathahalli,77.6993861,12.94993396,"European, Mediterranean, North Indian",1400.0,No,No,No,3,4.6,Dark Green,Excellent,6907
116,Flechazo,Bangalore,Marathahalli,77.696664,12.97537691,"Asian, Mediterranean, North Indian",1200.0,Yes,No,No,3,4.4,Green,Very Good,983
117,Onesta,Bangalore,New BEL Road,77.5709967,13.0291977,"Pizza, Cafe, Italian",600.0,No,No,No,2,4.6,Dark Green,Excellent,627
118,Communiti,Bangalore,Residency Road,77.60817859,12.97253153,Continental,1200.0,No,No,No,3,4.2,Green,Very Good,334
119,Big Brewsky,Bangalore,Sarjapur Road,77.68323686,12.91304096,"Finger Food, North Indian, Italian, Continental, Thai, South Indian",1800.0,Yes,Yes,No,3,4.5,Dark Green,Excellent,5705
120,Hoot,Bangalore,Sarjapur Road,77.6784,12.914264,"Continental, Italian, North Indian",1400.0,No,No,No,3,3.9,Yellow,Good,405
121,Farzi Cafe,Bangalore,UB City,77.5960137,12.9721612,Modern Indian,1500.0,No,No,No,3,4.4,Green,Very Good,754
122,Black N White Cafe,Bhopal,Arera Colony,77.419399,23.211529,"Cafe, Chinese, North Indian",200.0,No,No,No,1,3.3,Orange,Average,51
124,Sagar Gaire Fast Food,Bhopal,Arera Colony,77.435361,23.214294,Fast Food,250.0,No,No,No,1,4.9,Dark Green,Excellent,427
125,The Kasbah,Bhopal,Arera Colony,77.41722744,23.18499152,"North Indian, Chinese",700.0,No,No,No,2,3.9,Yellow,Good,126
126,Bake N Shake,Bhopal,Arera Colony,77.434976,23.214459,Fast Food,500.0,No,No,No,2,4.2,Green,Very Good,223
127,10 Downing Street,Bhopal,"DB City, Maharana Pratap Nagar",77.429989,23.232357,"North Indian, Chinese",1000.0,No,No,No,3,4.0,Green,Very Good,257
129,Pizza Hut,Bhopal,"DB City, Maharana Pratap Nagar",77.429845,23.232537,Pizza,650.0,No,No,No,2,4.1,Green,Very Good,118
131,Violet Hour,Bhopal,Kohefiza,77.3796051,23.26626099,Bakery,500.0,No,No,No,2,3.8,Yellow,Good,33
132,Bapu Ki Kutia,Bhopal,Maharana Pratap Nagar,77.433571,23.233219,"North Indian, Chinese, South Indian, Fast Food",550.0,No,No,No,2,3.5,Yellow,Good,175
134,Papa Mexicano,Bhopal,Maharana Pratap Nagar,77.43702042,23.23079116,"Fast Food, Mexican, Tex-Mex",350.0,No,No,No,2,3.6,Yellow,Good,20
136,Manohar Dairy And Restaurant,Bhopal,Maharana Pratap Nagar,77.434007,23.234249,"North Indian, South Indian, Street Food, Bakery",400.0,No,No,No,2,4.4,Green,Very Good,243
137,Manohar Dairy And Restaurant,Bhopal,Peer Gate Area,77.408236,23.264015,"North Indian, South Indian, Street Food, Bakery",400.0,No,No,No,2,4.1,Green,Very Good,238
138,Kebabsville - Sayaji Hotel,Bhopal,Sayaji Hotel,77.373573,23.218998,North Indian,1800.0,No,No,No,4,4.3,Green,Very Good,128
139,Indian Coffee House,Bhopal,TT Nagar,77.401663,23.234631,South Indian,500.0,No,No,No,2,3.9,Yellow,Good,161
141,Bake N Shake,Bhopal,TT Nagar,77.398886,23.235123,Fast Food,500.0,No,No,No,2,4.3,Green,Very Good,120
143,Silver Streak,Bhubaneshwar,"BMC Bhawani Mall, Sahid Nagar",85.846838,20.286333,Chinese,550.0,No,No,No,2,4.1,Green,Very Good,379
145,Central Perk 7,Bhubaneshwar,Chandrasekharpur,85.81781287,20.32553933,"Cafe, Charcoal Grill, Steak",600.0,No,No,No,2,4.5,Dark Green,Excellent,145
146,The Chicken Dinesty,Bhubaneshwar,Chandrasekharpur,85.81856667,20.32634444,"Fast Food, North Indian, Chinese",500.0,No,No,No,2,3.9,Yellow,Good,247
148,Michael's Kitchen,Bhubaneshwar,Gajapati Nagar,85.83394811,20.31149633,"North Indian, Asian, European",850.0,No,No,No,2,3.7,Yellow,Good,118
149,Mamma Mia - Mayfair Lagoon,Bhubaneshwar,"Mayfair Lagoon, Jayadev Vihar",85.819178,20.301785,"Cafe, Italian, Mexican, Bakery",1400.0,No,No,No,3,4.1,Green,Very Good,256
150,99 North Restaurant,Bhubaneshwar,Patia,85.80823611,20.34306944,"North Indian, Chinese",450.0,No,No,No,1,3.6,Yellow,Good,173
151,Adda,Bhubaneshwar,Patia,85.82272222,20.353675,"North Indian, Chinese, Mexican, Beverages",600.0,No,No,No,2,3.8,Yellow,Good,424
152,Chill Ummm,Bhubaneshwar,Patia,85.825257,20.35324774,"Chinese, North Indian, Cafe",450.0,No,No,No,1,3.7,Yellow,Good,338
153,Lal Qila,Bhubaneshwar,Patia,85.82685,20.35299167,"Mughlai, Chinese, North Indian",500.0,No,No,No,2,3.7,Yellow,Good,228
154,Richard's Kitchen & Coffee Bar,Bhubaneshwar,Patia,85.82599327,20.35343289,"Cafe, Chinese, Fast Food, Seafood",450.0,No,No,No,1,3.8,Yellow,Good,253
155,Aangan Horizon,Bhubaneshwar,Patia,85.82289287,20.34347604,"North Indian, Chinese, Continental",900.0,No,No,No,2,4.0,Green,Very Good,90
156,Brewberrys The Coffee Bar,Bhubaneshwar,Patia,85.81112333,20.34314407,Cafe,400.0,No,No,No,1,4.0,Green,Very Good,197
158,JUGAAD JN.,Bhubaneshwar,Patia,85.82225987,20.35348061,"North Indian, Rajasthani",300.0,No,No,No,1,4.1,Green,Very Good,199
159,Cha cTea,Bhubaneshwar,Sahid Nagar,85.84295925,20.29322917,"Cafe, Tea",500.0,No,No,No,2,3.8,Yellow,Good,56
160,Food Fever,Bhubaneshwar,Sahid Nagar,85.84516996,20.29575519,"Chinese, North Indian",900.0,No,No,No,2,4.2,Green,Very Good,49
161,Mainland China,Bhubaneshwar,"The Crown, Nayapalli",85.818494,20.292363,Chinese,1500.0,No,No,No,3,4.3,Green,Very Good,345
162,Eram Rooftop,Bhubaneshwar,Unit 4,85.82669624,20.28398889,"Asian, Continental",400.0,No,No,No,1,3.5,Yellow,Good,89
163,The Night Factory,Chandigarh,Chandigarh Industrial Area,76.801234,30.71005476,"North Indian, Chinese, Continental, Pizza",850.0,No,Yes,Yes,2,3.7,Yellow,Good,665
164,Brooklyn Central,Chandigarh,"Elante Mall, Chandigarh Industrial Area",76.8009555,30.7050693,"American, Cafe",1600.0,No,No,No,3,4.2,Green,Very Good,676
165,Chili's,Chandigarh,"Elante Mall, Chandigarh Industrial Area",76.8007752,30.7056682,"Mexican, American, Italian",1400.0,No,Yes,No,3,4.3,Green,Very Good,970
166,Kylin Experience,Chandigarh,"Elante Mall, Chandigarh Industrial Area",76.80064,30.7056102,"Japanese, Chinese, Thai, Malaysian, Burmese, Asian",1600.0,No,No,No,3,4.1,Green,Very Good,300
167,Mocha,Chandigarh,"Elante Mall, Chandigarh Industrial Area",76.8008653,30.7051482,"Continental, Italian, Thai, Finger Food",1400.0,No,No,No,3,4.0,Green,Very Good,428
168,Pirates of Grill,Chandigarh,"Elante Mall, Chandigarh Industrial Area",76.8009555,30.705775,"North Indian, Continental, Asian",1200.0,No,No,No,3,4.0,Green,Very Good,1022
169,Barbeque Nation,Chandigarh,Sector 26,76.8051917,30.7257045,"North Indian, Chinese",1300.0,No,No,No,3,4.5,Dark Green,Excellent,1450
170,TGI Friday's,Chandigarh,Sector 26,76.8063634,30.7249431,"American, Tex-Mex",1800.0,No,No,No,3,4.3,Green,Very Good,228
171,Pal Dhaba,Chandigarh,Sector 28,76.801316,30.7194841,North Indian,700.0,No,No,No,2,3.8,Yellow,Good,982
172,Midnight Chef,Chandigarh,Sector 35,76.76560555,30.72476574,"North Indian, Chinese, Continental, Italian, Burger",1000.0,No,Yes,No,3,3.4,Orange,Average,502
173,Nik Baker's,Chandigarh,Sector 35,76.76055595,30.72152328,"Bakery, Desserts, Cafe",650.0,No,No,No,2,4.1,Green,Very Good,698
174,OvenFresh,Chandigarh,Sector 35,76.7606106,30.7216086,"Cafe, Bakery",650.0,No,No,No,2,4.1,Green,Very Good,397
175,Super Donuts,Chandigarh,Sector 35,76.76028337,30.72137975,"Burger, Fast Food, Desserts, Beverages",450.0,No,Yes,No,1,4.0,Green,Very Good,265
176,Taco Bell,Chandigarh,Sector 35,76.75984483,30.72114167,"Mexican, Fast Food",600.0,No,Yes,No,2,4.2,Green,Very Good,252
177,Karim's,Chandigarh,Sector 7,76.8009793,30.7306181,"Mughlai, North Indian",800.0,No,No,No,2,3.3,Orange,Average,86
178,Virgin Courtyard,Chandigarh,Sector 7,76.7976205,30.7334795,Italian,2200.0,No,No,No,4,4.4,Green,Very Good,817
179,Burgrill,Chandigarh,Sector 8,76.7978909,30.740827,"Burger, Fast Food",500.0,No,Yes,No,2,4.5,Dark Green,Excellent,249
180,Uncle Jack's,Chandigarh,Sector 8,76.7972148,30.7408896,"Desserts, American",600.0,No,No,No,2,4.0,Green,Very Good,356
181,That Madras Place,Chennai,Adyar,80.250744,13.0058006,"European, Italian, Desserts",800.0,Yes,Yes,No,2,4.2,Green,Very Good,1810
182,Haunted,Chennai,Anna Nagar East,80.2206723,13.0864385,"North Indian, Chinese, Arabian",800.0,Yes,Yes,No,2,3.8,Yellow,Good,519
183,Pantry d'or,Chennai,Anna Nagar East,80.2191037,13.0918088,"Continental, Cafe, Italian, Desserts",750.0,Yes,Yes,No,2,4.4,Green,Very Good,1504
184,Palmshore,Chennai,Ashok Nagar,80.20881157,13.02977985,"North Indian, Mughlai, Chinese, South Indian",850.0,Yes,Yes,No,2,4.2,Green,Very Good,841
185,Chili's,Chennai,"Express Avenue Mall,  Royapettah",80.264151,13.058616,"Mexican, American, Tex-Mex, Burger",1700.0,Yes,Yes,No,3,4.8,Dark Green,Excellent,1262
186,Writer's Cafe,Chennai,Gopalapuram,80.25722075,13.05434714,"Cafe, European",450.0,No,Yes,No,1,4.2,Green,Very Good,191
187,Fusilli Reasons,Chennai,Kilpauk,80.24851944,13.08187778,Italian,350.0,No,No,No,1,4.6,Dark Green,Excellent,1510
188,Ciclo Cafe,Chennai,Kotturpuram,80.24243889,13.02239444,"Cafe, Continental",1100.0,No,No,No,3,4.1,Green,Very Good,1004
189,Kaidi Kitchen,Chennai,Mylapore,80.26147,13.044694,"Italian, Mexican, Chinese, Thai, North Indian",1500.0,Yes,Yes,No,3,4.0,Green,Very Good,1820
190,Bombay Brasserie,Chennai,Nungambakkam,80.251865,13.066762,North Indian,1200.0,Yes,Yes,No,3,4.6,Dark Green,Excellent,1753
191,Maplai,Chennai,Nungambakkam,80.23644167,13.06418056,"South Indian, Chettinad",1000.0,Yes,No,No,3,4.2,Green,Very Good,1714
192,Paradise,Chennai,Perungudi,80.24998214,12.97279291,"Biryani, North Indian",900.0,No,Yes,No,2,3.8,Yellow,Good,1317
193,L'amandier,Chennai,RA Puram,80.25479067,13.02701773,"European, Cafe, Italian",1200.0,Yes,Yes,No,3,4.3,Green,Very Good,1607
194,Palmshore,Chennai,Ramapuram,80.17456822,13.02627908,"North Indian, Mughlai, Chinese, South Indian",850.0,Yes,Yes,No,2,4.4,Green,Very Good,645
195,Palmshore,Chennai,Santhome,80.2752348,13.02628637,"North Indian, Mughlai, Chinese, South Indian",850.0,Yes,Yes,No,2,4.3,Green,Very Good,742
196,Basil With A Twist,Chennai,T. Nagar,80.24226844,13.04964535,"Continental, Cafe, Spanish, Italian, European, Greek, Mediterranean",1500.0,Yes,Yes,No,3,4.5,Dark Green,Excellent,1210
197,Barbeque Nation,Chennai,T. Nagar,80.23311,13.045479,"North Indian, Continental",2000.0,No,No,No,4,4.4,Green,Very Good,3848
198,AB's - Absolute Barbecues,Chennai,Velachery,80.231598,12.981615,"North Indian, European, Mediterranean",1600.0,No,No,No,3,4.9,Dark Green,Excellent,859
199,Coal Barbecues,Chennai,Velachery,80.21811381,12.98604688,"North Indian, Mediterranean, Asian, Arabian",1400.0,No,No,No,3,4.6,Dark Green,Excellent,1267
200,Pind,Chennai,Velachery,80.221898,12.975996,"North Indian, Chinese",900.0,Yes,No,No,2,4.0,Green,Very Good,2272
201,Kuchi n Kream,Coimbatore,Gandhipuram,76.9720757,11.01629845,"Cafe, Continental, Fast Food",800.0,No,Yes,No,3,4.6,Dark Green,Excellent,202
202,Haribhavanam Hotel,Coimbatore,Peelamedu,76.995667,11.022477,"South Indian, Chettinad, North Indian",600.0,No,No,No,2,3.9,Yellow,Good,318
203,Kites Cafe,Coimbatore,Peelamedu,77.015393,11.025083,Cafe,400.0,No,Yes,No,2,3.8,Yellow,Good,124
204,Zucca Pizzeria,Coimbatore,Peelamedu,77.00700302,11.02483917,Pizza,600.0,No,Yes,No,2,3.5,Yellow,Good,274
205,Burger Ka Baap,Coimbatore,Peelamedu,76.99959444,11.02216944,Fast Food,500.0,No,No,No,2,4.3,Green,Very Good,147
206,The Cascade Restaurant,Coimbatore,Peelamedu,76.99501667,11.02127778,Chinese,1200.0,No,Yes,No,3,4.1,Green,Very Good,243
